horizon,target_portfolio_annual_vol,annual_drift,n_events,tp,fn,fp,tn,true_positive_rate,false_negative_rate,false_positive_rate,true_negative_rate,precision,label_positive_rate,true_drift_event_rate,balanced_accuracy,pt_hit_share,sl_hit_share,vertical_hit_share,avg_time_to_pt,avg_time_to_sl
30,0.02,0.1,124500.0,8198.333333333334,16701.666666666668,28280.0,71320.0,0.3292503346720214,0.6707496653279786,0.28393574297188756,0.7160642570281125,0.22474388594723646,0.2929986613119143,0.20000000000000004,0.5226572958500669,0.2929986613119143,0.2641499330655957,0.4428514056224899,16.126976736893315,16.72104532111212
30,0.02,0.3,124500.0,10793.0,14107.0,28280.0,71320.0,0.43345381526104415,0.5665461847389558,0.28393574297188756,0.7160642570281125,0.27622898437828175,0.31383935742971886,0.20000000000000004,0.5747590361445784,0.31383935742971886,0.25029986613119143,0.43586077643908966,16.10503583046115,16.697715333549212
30,0.02,0.5,124500.0,13415.666666666666,11484.333333333334,28280.0,71320.0,0.5387817938420348,0.4612182061579652,0.28393574297188756,0.7160642570281125,0.32174316920901425,0.334904953145917,0.20000000000000004,0.6274230254350736,0.334904953145917,0.24046586345381527,0.42462918340026773,15.987525830283978,16.690056672985268
30,0.02,0.7,124500.0,15787.666666666666,9112.333333333334,28280.0,71320.0,0.6340428380187416,0.3659571619812583,0.28393574297188756,0.7160642570281125,0.35824826894263423,0.3539571619812583,0.20000000000000004,0.675053547523427,0.3539571619812583,0.2335876840696118,0.41245515394912985,15.777295753698334,16.684772542035315
30,0.02,0.9,124500.0,17789.666666666668,7110.333333333333,28280.0,71320.0,0.7144444444444445,0.28555555555555556,0.28393574297188756,0.7160642570281125,0.38613416604653156,0.3700374832663989,0.20000000000000004,0.7152543507362784,0.3700374832663989,0.22873360107095045,0.40122891566265056,15.496120698075837,16.686025269992648
30,0.06,0.1,124500.0,7545.0,17355.0,28886.333333333332,70713.66666666667,0.3030120481927711,0.696987951807229,0.29002342704149936,0.7099765729585007,0.20709859145033915,0.29262115127175364,0.20000000000000004,0.5064943105756359,0.29262115127175364,0.24894779116465862,0.4584310575635877,15.55527707864321,17.406161867937566
30,0.06,0.3,124500.0,8356.0,16544.0,28886.333333333332,70713.66666666667,0.33558232931726906,0.6644176706827309,0.29002342704149936,0.7099765729585007,0.2243682699253087,0.2991352074966533,0.20000000000000004,0.5227794511378848,0.2991352074966533,0.24347523427041498,0.4573895582329317,15.57014473618001,17.40240467133908
30,0.06,0.5,124500.0,9185.0,15715.0,28886.333333333332,70713.66666666667,0.3688755020080321,0.6311244979919678,0.29002342704149936,0.7099765729585007,0.24126003828548784,0.30579384203480586,0.20000000000000004,0.5394260374832663,0.30579384203480586,0.23870682730923695,0.45549933065595716,15.5699411081716,17.400017605761448
30,0.06,0.7,124500.0,10043.0,14857.0,28886.333333333332,70713.66666666667,0.4033333333333333,0.5966666666666667,0.29002342704149936,0.7099765729585007,0.25798456573058876,0.31268540829986613,0.20000000000000004,0.556654953145917,0.31268540829986613,0.2342730923694779,0.45304149933065596,15.565297020279031,17.392009747707295
30,0.06,0.9,124500.0,10931.333333333334,13968.666666666666,28886.333333333332,70713.66666666667,0.4390093708165998,0.5609906291834003,0.29002342704149936,0.7099765729585007,0.27453715440382714,0.3198206157965194,0.20000000000000004,0.5744929718875502,0.3198206157965194,0.23041767068273092,0.4497617135207497,15.55645008217723,17.389460029463702
30,0.1,0.1,124500.0,7436.0,17464.0,29079.666666666668,70520.33333333333,0.2986345381526105,0.7013654618473896,0.2919645247657296,0.7080354752342704,0.20363457209435798,0.29329852744310575,0.20000000000000004,0.5033350066934404,0.29329852744310575,0.21563319946452478,0.49106827309236945,15.02962554789404,18.102670232872843
