sim,seed,equal_weight_ann_vol,individual_ann_vol_avg,individual_ann_vol_median,individual_ann_vol_min,individual_ann_vol_max,avg_pairwise_corr
0,20000,0.10017865980006935,1.3560152916601214,1.414205639149891,0.401870639279454,1.9611297861628154,0.004233474083091821
1,20001,0.1001969015680667,1.3566704266651286,1.4134576274920683,0.4093632561358865,1.963574778536998,0.004267964778195933
2,20002,0.10035679127348643,1.3561494342866,1.4177464920616893,0.40993643373284494,1.9634897699973872,0.004235081105689435
3,20003,0.1000578653820463,1.3566761153379148,1.4123335878515246,0.40790924317399935,1.9767312420769843,0.004204527539718615
4,20004,0.10049036347887229,1.3568439050101142,1.4115790348501114,0.4034929736668082,1.9693192026381767,0.004249261328906801
5,20005,0.09902099058100448,1.3568797132172927,1.412861669768675,0.4082246716901413,1.9602278986115762,0.004102804756350827
6,20006,0.1000352339773676,1.3556708588724817,1.4135871757850147,0.40642430159128523,1.973211492608816,0.004221897349655264
7,20007,0.10059564600023979,1.3565319335922756,1.4102541954334074,0.40260413612939133,1.9848380497618598,0.004259385297855446
8,20008,0.09999511234745177,1.35608219236487,1.4104920184340513,0.4046270843359969,1.9794300988587643,0.0042180058142951725
9,20009,0.09840207397476995,1.3561679330107126,1.418018866696829,0.4048003351442203,1.9762783619268016,0.00399249925732162
10,20010,0.10007442507228494,1.3563574610384281,1.411450235084786,0.4044130164346163,1.9716284946093554,0.004232647903640361
11,20011,0.10083889103609435,1.356584251078678,1.4093640984802114,0.4090124050863593,1.9792226224075207,0.004304673812779817
12,20012,0.09914696279403028,1.3567727451145934,1.4150629651294637,0.40640801936543774,1.9603111732422742,0.0041157966900172765
13,20013,0.10008207846436383,1.3578092479789503,1.4140821421479992,0.407073743753692,1.9722626057391106,0.004198586991696866
14,20014,0.0999375511700374,1.3554921696297875,1.412099832925743,0.4053175337099279,1.9779802434602567,0.004196439312162559
15,20015,0.0990688528898356,1.3571604122210204,1.408855383925696,0.4089630268993719,1.973878171873136,0.004085411090571438
16,20016,0.1001097654148758,1.3566423466184092,1.4143333334763546,0.4051755395659126,1.9721408876761395,0.004255688233222864
17,20017,0.09986161175039458,1.3564692566614038,1.415893747320194,0.40844130860235073,1.9598412750583996,0.004174410106120543
18,20018,0.0995205884787556,1.3564177079138269,1.4076785693726563,0.4044868387581142,1.9776743917958266,0.004165759125065088
19,20019,0.1007895038209396,1.35680843449877,1.4147647355762085,0.4093600755786156,1.9743597872659762,0.004330096892482495
20,20020,0.09963983180118927,1.3559972089359367,1.4132170748185462,0.3998102870033232,1.9713161367501966,0.0041431315981317034
21,20021,0.09925554298568703,1.356494132364437,1.407518263782146,0.4022817249662802,1.9659392200489394,0.004145592179987615
22,20022,0.09974156195804945,1.3567660955721683,1.411700525850286,0.40441789517305465,1.9645943458628583,0.004123675910273902
23,20023,0.09935043985997451,1.3570371281636096,1.4164226053369378,0.39941214112116497,1.9741138381646544,0.004123847740644638
24,20024,0.10022227807704909,1.35659857348593,1.4099595095985402,0.3998363440104244,1.9701382419687226,0.0042386828581644515
25,20025,0.10114276904184187,1.3570630567025834,1.4118459550868026,0.40622049125747345,1.9782885322474757,0.004315104029741896
26,20026,0.100499063781194,1.3565930996358218,1.4147299118627836,0.4066293855030725,1.9613699233200985,0.004298351417808621
27,20027,0.10027212675506775,1.357471234307566,1.4132480290053673,0.40578160419022763,1.97909401393857,0.004237390369715618
28,20028,0.10001863055440653,1.3572931678756228,1.411897729189981,0.4087422392942493,1.9726695911138872,0.004197141528722676
29,20029,0.09962440768945717,1.3562394249766931,1.4130908889213325,0.4067390240759048,1.9865278848844856,0.004142433062248807
30,20030,0.09930347347908591,1.3568607051013197,1.4146863825884357,0.4087563174080069,1.979254873312621,0.004126613592073493
31,20031,0.10046588774848546,1.3578750452019444,1.415874800162353,0.4090917635702002,1.9804522340008948,0.004246879194347307
32,20032,0.10001535228558779,1.356800000187255,1.409750790575454,0.4071122328514655,1.9726065926634462,0.004191994154780515
33,20033,0.09944145239069004,1.3565313197444757,1.418048732700618,0.41271104811691306,1.9850871124373102,0.00415927970682707
34,20034,0.09924942283091454,1.357315814549416,1.4160715096411596,0.40304611794065076,1.9945762811263932,0.004114613765976756
35,20035,0.09888535347441024,1.3561938361117167,1.408173897425201,0.410657024300872,1.9750851033096395,0.004066222257511426
36,20036,0.100030667995205,1.3563319225640142,1.4130054979383164,0.4067735136998548,1.9712007179415032,0.004157074866274712
37,20037,0.09972546843849063,1.3564394437730523,1.41340265409747,0.40807162370540034,1.9642585465369038,0.004160224157626573
